年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2005,2,1539,巨庭,鼎信 聯 合 會 計 師 事 務 所,林明壽,賴銘堂,94-08-18,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1540,喬福,資誠會計師事務所,蕭珍琪,楊明經,94-08-18,無保留意見
2005,2,1541,錩泰,致 遠 會 計 師 事 務 所,游朝堂,嚴文筆,94-07-21,無保留意見
2005,2,1558,伸興,致遠會計師事務所,嚴文筆,林奇威,94-07-29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1560,中砂,致遠會計師事務所,傅文芳,賴銘榮,94-08-23,修正式無保留意見--會計原則變動
2005,2,1568,倉佑,勤業眾信會計師事務所,賴國旺,廖如陽,94-08-02,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1603,華電,勤業眾信會計師事務所,劉江抱,張淑慧,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1604,聲寶,勤 業 眾 信 會 計 師 事 務 所,龔  雙  雄,陳  昭  鋒,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1605,華新,勤業眾信會計師事務所,洪國田,余鴻賓,94-08-05,修正式無保留意見--欲強調某一事項
2005,2,1608,華榮,安侯建業會計師事務所,王明志,陳國宗,94-08-20,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1609,大亞,群 智 聯 合 會 計 師 事 務 所,黃春生,呂亞哲,94-07-28,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1611,中電,群信聯 合 會 計 師 事 務 所,謝文益,謝國松,94-08-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1612,宏泰,致遠會計師事務所,楊文安,黃素珍,94-07-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1614,三洋電,第一聯合會計師事務所,高佩,楊淑卿,94-08-08,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1615,大山,安侯建業會計師事務所,江忠儀,林賢郎,94-08-19,無保留意見
2005,2,1616,億泰,安侯建業會計師事務所,羅瑞蘭,于紀隆,94-08-27,修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項
2005,2,1617,榮星,安 侯 建 業 會 計 師 事 務 所,蘇慈玲,陳惠媛,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
